TF	pvalue
RFX5	0
SPI1	2.4092e-13
STAT1	2.4092e-13
RFXANK	1.6334e-12
RFXAP	1.6334e-12
CIITA	1.5755e-07
STAT3	4.6535e-07
IRF8	5.893e-07
REL	9.1662e-07
IRF1	4.3536e-06
ETS1	8.0826e-06
CEBPA	8.7389e-06
PPARG	1.1633e-05
ETS2	0.00013208
SP3	0.00013629
NR1H3	0.00060607
TP53	0.00096938
IRF3	0.0010706
ATF4	0.0013011
CEBPB	0.0018017
USF2	0.0020298
ILF3	0.0028926
RFX1	0.0048453
POU2F2	0.0051709
HDAC3	0.005462
HIF1A	0.0055671
PPARD	0.0059355
WT1	0.0059355
ATF2	0.0059565
USF1	0.0060747
HDAC2	0.0076414
BRCA1	0.013206
XBP1	0.013206
ELF1	0.01384
SUGP1	0.01384
ESR2	0.018118
PPARA	0.018118
RUNX1	0.018884
SMAD3	0.020228
ATF6	0.022415
MED15	0.02363
FOXO4	0.026235
ARNT	0.027657
PTTG1	0.027657
MEF2D	0.02843
MYOD1	0.035389
PARP1	0.038409
ESRRA	0.039398
SP2	0.039398
STAT6	0.040828
ELK4	0.042308
FOS	0.043348
HMGA1	0.043348
HR	0.045381
AHR	0.045706
NR1I2	0.045706
