Celltype1	Celltype2	Celltype3	Celltype4	Celltype5	Celltype6	Celltype7	Celltype8
C18orf54	SPIC	C8orf34	CCDC12	SPATA13	CSTF1	HAUS5	AFAP1
PPP1R13B	ZBTB10	IFNW1	HIST1H2AJ	HSD17B1	RNF216P1	FBXL13	PDE6G
ZNF615	TLX1	BMPR2	SNHG11	FNBP1	UPF1	LINC-ROR	PTBP1
PRSS1	BEND3	MDN1	FAM203A	LOC100130987	GLUD1	LOC494141	HNRNPR
LOC728392	LINC00499	ASH1L	CNFN	DUSP2	CCDC24	SLC22A15	ZBTB47
LOC728377	TTTY8	IL20	GCDH	RABGAP1L	BHLHE40	JARID2	LSM1
C2CD2L	TTTY8B	PTGER2	SIRT6	SMG1P1	TBC1D8B	TRIM6	RAB40C
ABR	DUOX2	OR4D11	TBC1D13	ARV1	KIAA1467	MRPL53	PSMG2
ZNF518B	C11orf53	CCNYL1	SIKE1	KLRC4-KLRK1	RNF13	HCFC2	ANKRD13A
C2orf48	SOX12	ABLIM2	TMF1	PIP4K2A	TTC4	SLC30A7	MOCS2
MAPK8IP1	AKR1C6P	NHEJ1	KPNB1	MAT2B	NUDT4P1	PBX2	MAGEH1
COG3	MYCBP2-AS1	CASQ2	CCAR1	SIK1	DIS3	LINC00652	FES
PGP	TNP2	BMS1	LSM3	XCL2	PRKAA1	FAM83B	LIPT2
NIPA1	SLC25A18	BTBD18	SMNDC1	HIST1H1D	CSMD1	CHRNA5	PGBD1
RPS6KA4	VAV1	TRPC6	WDFY2	SIPA1L2	DUSP11	TCP11L1	UBE2N
KDM8	ZNF682	AKR7A2	FANCB	EFTUD1	PSMD9	TMED7-TICAM2	OTUD5
TJP3	PCDHGA11	ZNF767	CNEP1R1	KLHDC10	ZNF446	KCNK13	KIAA1430
ZNF132	SNTG2	PP2D1	GDAP1	HNRNPA1	BOC	LOC100505659	KIAA0355
LINC00235	MBLAC1	UBFD1	DNAJC4	OFD1	MAP2K5	FMNL3	LRRTM2
CLIP4	C2orf78	LOC285692	C15orf39	NFATC3	ADAM10	ZNF514	PSMB2
SMARCA4	RPS4Y2	SCARNA18	FAM131A	LRRK2	ZNF184	TBC1D15	PAPPA
CHRNA10	TSPAN1	LINC00254	ZDHHC8	JAKMIP1	GNPDA1	MS4A2	TBC1D25
MIR302A	IVL	EFCAB1	ZFP112	ZBED2	SMPD1	FAM20B	ANKRD17
BTBD6	KCNA5	AADACL3	SIPA1L2	EIF3H	RELA	TIGD7	ITGB3BP
SH3GL1P2	ZNF169	QSER1	LYSMD4	APLF	ACER3	MMAA	PLA2G16
HNRNPA1P33	MIR3648	SPTSSA	SHC4	KDM4C	ATP5J	LOC100303749	NOMO2
JMY	IFIH1	GPR173	SYT14	ARHGEF3	KIAA2013	ZNF252P	GSK3B
PLEKHA3	MIR2110	FAM84A	LRRC58	VPS13C	PMS2	RASAL2-AS1	LOC285074
GET4	DKKL1	FGF7	SLC38A7	HIST1H2AD	THAP1	PHTF1	DYNC1I1
POLR1A	TTC27	C7orf76	ZMYM4	BCLAF1	ZDHHC17	LIN54	TVP23C-CDRT4
BMS1P1	ADAM33	GEN1	LRSAM1	BTN3A1	ANAPC1	TRIM65	CD164
HIST1H2BB	ZNF425	ZNF599	COL25A1	PRKACB	MRP63	ZNF701	PPP1R2
CEP290	TBC1D3P2	ETS1	9-Sep	TAF7	RHBDF1	CCDC30	STEAP2
CDC25C	RNU5D-1	GP5	FAM120A	NPLOC4	ERCC8	VPS33A	BBS7
ZNF782	RFPL3S	DNAJC5	PGK1	CT47A8	SPNS1	PNPLA3	UQCRBP1
CLDN20	ZMYM2	MESDC1	AP5M1	CRIP3	HFE	LRRC19	LDOC1L
UGT3A2	SPEF1	AGAP6	KIAA0368	C12orf42	PITPNA-AS1	ZNF513	IGHMBP2
H6PD	HIST1H2AJ	BTBD11	YY1	DFNB59	CDKN2D	INE2	MAPK10
NAB2	KCTD8	SCIN	QTRT1	PPME1	PCGF3	ABCC9	RAB3GAP1
LOC93622	LOC285419	NPRL3	TULP3	ITGAE	DNAJC1	CAPN10	ARHGAP12
NPAP1	TGM1	RSU1	GRB10	WNK1	INTS3	SUFU	CCDC24
KEAP1	LOC200772	IRF6	NUP155	TNFRSF13C	ZHX3	PACS2	ZNF23
ANKRD52	PRB4	NAP1L2	UQCRQ	CARD11	ZNF83	MLK7-AS1	PARD6G-AS1
NKRF	HIGD2B	ZSWIM8-AS1	ARMCX2	RNF44	C20orf196	CDKN2B-AS1	BCAP31
SNORA46	LINC00629	LINC00336	DHRS12	RAB37	ZNF281	ACO2	GPRASP2
MSC	TMPRSS11E	CCRL1	THNSL1	PPP1R16B	UNC50	CCDC144A	ENTPD7
ZNF222	NR2E3	MASP1	GNB4	STIM1	ZFP69B	NAIF1	PDE3A
NOP9	ESPNP	KLF2	UNC93B1	MIR600HG	TMSB15B	TMEM38A	CBX1
PRDM15	ZNF787	ASXL1	LOC389634	TSPYL1	HOMER1	ADCY1	SREK1IP1
FBXO43	CLCA3P	CDHR4	ZNF654	TLK1	LOC100506668	NANOG	CBR4
NIF3L1	RSPH1	LOC283761	GABARAP	CD82	PELP1	FUT11	RYBP
ESRP2	CCL13	ANKRD30B	5-Mar	PRKCQ	ADAM22	GCSAML	ASH2L
TMC4	OXCT2	MIR548C	TM2D2	GABRP	PGF	ZNRF3	PPT2-EGFL8
RAD54L	MIR4317	NDP	C17orf53	MAP3K1	LANCL2	SFPQ	FBXO30
PML	SNORD88B	ZNF704	COPS6	GGA3	ELMOD3	SCRIB	WDR19
TAS2R20	TP53AIP1	ZPBP2	ABHD5	TTN	C9orf37	BMP8A	SCRG1
GNAT2	OR14C36	SPATA31A6	JARID2	RCSD1	ZNF416	HSP90AB4P	SEC23IP
GPN2	TMEM35	ZNF705A	PDXP	KIR2DL4	ZNF626	ELOVL7	FAM133CP
LOC100192426	CMTM1	ITGBL1	UBFD1	SCAMP1	IP6K1	ZNF876P	SLC7A2
ZFR	LINC00032	SGOL2	DDX11	LTA	WDR77	CNNM1	CCDC6
OR2G2	GABBR2	C2orf78	PIGK	SH3PXD2B	NFE2	DNAJC14	EXOC6B
CSRP2BP	TMEM175	FABP5P3	STAU1	UQCRB	NPHP1	LOC100506085	ZC3H3
LOC728407	ZNF571	BPIFA1	GFER	MLL5	PDS5B	ENPP5	ZMIZ2
MAP3K10	AKR1CL1	C1orf145	EPOR	ANAPC16	LOC100270746	LOC100131320	UBR4
VWDE	SPRR1B	PVRL3	APPBP2	RBM38	RAVER1	C19orf54	SCN3A
DDX46	FLG2	SAMHD1	IL11RA	HOPX	MYO6	SLC28A2	TTC8
SULT1A2	LINC00838	RBBP6	TRAM1L1	GVINP1	ZNF57	RHBG	CPED1
SNPH	FGF18	HHLA1	RAD50	ITSN2	CPXM2	COL9A2	ARFGAP3
MRPL50	TSPO2	POTEF	HRH2	ATG2A	MOCOS	USP46	KSR1
CDK5RAP1	BSN	ENOX2	FOXRED1	MBD5	PRADC1	HIPK3	UQCRFS1
NME9	MIR548F2	GABRB3	DNASE2B	PXN	STX16	UCKL1-AS1	SUPT6H
SNORD17	EFCAB3	CLCA2	LAMB2	ZNF107	YIPF5	DENR	UBA1
KLHDC1	OR2T11	PTGIR	QTRTD1	TNKS	C6orf226	PARD6G	GOLM1
RIOK3	OR2Y1	CCDC108	TUB	TIPARP	TMEM129	LOC100294362	EDEM3
UBE2T	OR10T2	BNC1	SLC6A8	CDK14	ZNF200	HSD3BP4	SRR
PHEX-AS1	LINC00460	REREP3	CEP350	ITGA4	ETAA1	OGFOD1	NTNG1
LINC00035	FAM90A27P	OR1L3	RCAN3	ZNRD1-AS1	BRK1	ZNF649	CRMP1
SNORA75	RAD9B	DLGAP1-AS5	TAB1	RASAL3	ZSCAN16	VN1R2	ALG5
ZNF558	CHRNA9	LOC100505545	OPTN	C9orf116	CEP97	FAM175B	AGO4
EME2	FLJ35024	ZNF382	LIN9	TMEM156	F12	UTP14C	EGFLAM
NLGN4Y	SPINK9	KRTAP4-7	PTPDC1	CT47A4	RBM45	SUV39H2	MAD2L2
SIRT7	UNC93A	TRIM10	MRP63	CCDC103	HIPK3	ASB11	NUDT11
KPNA1	DPP10	NLRP13	HINT1	NOX5	TMEM14B	KIAA1549	SPPL2B
ABCB10	CTRB2	SNAR-C3	KDM3A	CELF2	PDGFC	FUBP3	RERG
CDH24	TDH	OPCML	MED30	HIST1H1E	FAM122B	AOC4	MED4-AS1
STAC	TBC1D3H	LOC645212	ZNF263	TNFRSF9	BROX	RRP36	GSTM2
ZNF569	SH3BP5L	LOC100133161	SUMO1P3	RUNX3	ACSL3	PLEKHH2	FAM135A
KCTD11	LOC100500773	TMA16	CSDE1	LOC441461	BLOC1S5	LOC145783	HTRA2
LOC100294362	FBXO28	LOC286059	PGF	ZNF451	RNFT1	KGFLP2	MAML1
SRSF2	SNORD102	PNPLA8	E2F4	LOC613037	PCMTD1	MFSD4	FAM108C1
WNT10A	MIR320C1	TSHZ1	MYLK	CT47A9	MFSD3	TSG1	SHB
TCF20	SCN10A	UGT2B10	PRODH	OR52N4	GPR22	PPM1L	TET1
C2orf49	ABHD16B	DPYS	TPRN	KIAA0430	ZNF846	ENPP1	SLC2A14
ZNF254	SNORA34	SH2B1	KLF10	FAM172A	NOP2	FAM92A1P2	SLC25A44
CPEB3	C4BPB	LINC00309	CLCN2	GPR114	ACD	LINC00189	NCKAP5L
PMS2CL	ODF3	CCM2	COG6	TMEM127	TFB1M	SLC7A14	CROT
LOC100505715	MRGBP	KIAA1328	PKD2	MACF1	ATP2A2	LOC90834	HOXD-AS2
OR52A5	LOC340073	OR4C12	RAB23	SNX33	DAPK3	CLCN1	PCBP3
SUPT3H	RNF208	ERI1	HERPUD1	ZNF800	REXO4	NACC2	ZNF462
ZNF746	GLP2R	LOC727982	EDEM3	NEDD8-MDP1	PSME4	PGM5P2	MCC
KLRAP1	LOC100128176	C14orf159	USP16	CD28	DGKD	CLEC4GP1	EFNA4
SNORD18B	OR8B12	CYB5D1	COX15	SOCS6	AGAP1	ZSCAN12	LOC645513
LOC541473	PLN	FBXL22	POLE	C2orf27A	MTTP	SLC24A4	ZFAND5
TP53I11	AKR7A2P1	RP1L1	SC5DL	ZC3HAV1	TPGS1	LOC283731	BMS1P2
TMEM30B	SUSD2	MGAM	RSAD1	GPR161	TMEM167B	PDE11A	AADAC
FBXL14	TRIM60	SEMA3A	INSC	DENND4A	ZSCAN32	EEF1E1-MUTED	TMEM242
STK24	LIG4	LOC442028	MYEOV	SARDH	GORASP1	HIF3A	NUP188
MAPKBP1	TMEM74	PGBD2	PANK3	MDM4	OPA1	KCNH6	IQSEC1
LENG9	MIR5692A1	PLCH1	NOMO1	C5orf56	CNR1	ZBTB7B	WDR27
ZBTB37	ANKRD33	ATP2A2	A1BG-AS1	SLAIN2	FCHO2	OLAH	ZFYVE9
HIST1H3J	OR5I1	ABCG2	BANK1	LCN8	ZNF41	MUC20	DNAJA2
MEAF6	PLSCR2	FTX	NUPL1	HNRPDL	ACYP1	FAM73A	SLC8A1
CHIC1	TIGD4	OR1J2	PDCD10	TTLL7	KANSL1-AS1	LOC100505648	GABPB1
SLC35G1	WDR64	DCN	TMEM8A	CT47A11	SMIM18	MMD2	AK4
DROSHA	SIMC1	ROBO2	BRCC3	LOC100272228	EMC1	TRIM22	RSPH4A
TOP3A	IGSF5	FRAS1	LAPTM4A	LRRCC1	UBR3	SERF1A	PPP3CB
C11orf94	LOC100873065	SLC35G1	BOD1	RNFT1	PYGL	IDNK	NCL
THOC5	FAM81B	PLEKHA8P1	SLC25A26	FAS	MTERFD3	LOC100506035	PPP1R10
TMPRSS6	GDPD2	PRKRIR	ACSF3	CRTAM	FLJ20021	ADIPOQ	CNP
FAM50B	SNAR-A7	ACSBG2	MOSPD3	MBD4	TRIM24	WIPF3	MARK3
OIP5-AS1	RBM11	USP28	NCAPD3	SLC38A11	C16orf46	MDH2	GRASP
KCTD4	HOXA10-HOXA9	GCFC2	DOLPP1	FAM117B	DMPK	CLEC12B	KCNMB3
TMCC2	TEKT3	GPRC5A	HSD17B1	RNF213	NR1H2	PRRG4	CHD6
TAZ	LINC00210	AACSP1	ABI2	SESN3	PTPRA	SPIRE2	IFT88
CENPA	LRRC48	TRPC4	TMX1	SPIB	ZBTB48	TPM3P9	ANKDD1A
LINC00332	MIR5088	IL12B	LPCAT3	ARL4C	ADORA1	CLMN	ZNF513
SNORA33	KRTAP21-1	IPMK	ARPC5L	GNG12-AS1	SQRDL	LINC00221	HMGXB4
OCEL1	TSPAN16	IVL	TMEM203	LINC00494	ATP6AP1	C11orf21	DLG4
DIRC3	SYT9	NBPF3	RFNG	NELL2	TCEAL3	ESYT2	ENOX2
UNQ6494	SNORA67	LOC100129055	ARL8B	KIAA0947	GEMIN5	SH3RF1	SLC26A4
ADAM22	ARHGEF38	PACRGL	WDR47	KHNYN	KIF5B	ZNF451	ZHX1
PHOSPHO1	GPR39	NVL	CD79B	EPB41L2	NSMAF	COX15	EXD2
OR5AP2	DISP2	SGCZ	JMJD8	PATL2	ZNF85	CNNM4	FHOD3
FAM226B	PDZD9	ALPK2	ZNF317	EXD3	CHD7	C1orf127	MICALL1
FAM226A	CDY2B	UBP1	URGCP	NSFP1	MBD4	ZNF12	ZNF454
C12orf68	LAMC3	TRIM38	LIX1L	HSPD1	RNF187	STX17	CNOT2
TACO1	STRC	UNC80	DPP6	PEX5L	RAPGEF5	DLG4	FIGF
CCDC66	BEST4	MAPK4	RAD54B	GNG2	RNF182	ST20-MTHFS	COX4I2
CDC25B	CD99P1	TRIL	FOXK2	CLIC3	C11orf80	CD207	RIMKLB
ZNF816-ZNF321P	KCNK13	MACROD2-AS1	APRT	EPB41	NFKB1	RNF8	LYNX1
POM121L1P	PLA2G2D	ABCC12	IPP	EPC1	STK38L	TCTA	HTT
SLC25A45	CDY2A	CREBZF	C11orf30	MBNL3	ZKSCAN4	RNF169	TUBAL3
PPDPF	LOC100129316	ACVR2B	FLII	ATRX	SCAMP2	UNKL	ZFP1
TMEM248	CELF3	SEC14L2	SMARCD3	FAM214A	PCDHB13	VPS41	ZNF202
NMRK1	PRSS3	PPYR1	SMAD5	CT47A10	TJAP1	WAC-AS1	SRPRB
KIAA0947	SNAR-A5	ZNF23	THRAP3	SFXN1	RTN1	HYOU1	KIAA1324L
CCDC102A	SSX8	ACTC1	C4orf48	CLUHP3	MAGED1	CARM1	MPP5
MAP7	REG3G	FAM134B	RPP25L	C22orf34	MGST1	CD300LG	NFATC1
PPM1N	NRADDP	ENKUR	NME1-NME2	RGPD2	MAGOHB	MRO	SH3GLB2
DDX20	CASP14	IGF2BP2	C12orf43	TNFRSF10A	TRAPPC1	C9orf3	CORO6
PANK2	KLHDC7B	CD14	IQCE	MLL	NUDT12	DGKB	SLC43A1
ZNF225	MIR3609	OR2A2	MASTL	GABRA3	LYRM1	DBT	PRKCI
HIST1H4B	MIR1910	OR10G9	MORN2	TRANK1	VWA9	C19orf47	C18orf8
LINC00260	CACNA2D2	P2RY13	WDR90	ZNF101	CSPP1	E2F2	PCNA-AS1
RIMS3	PPIAL4C	ZNF85	PRDM4	BEX2	ATOX1	PQLC2	DLGAP2
LINC00536	KLHL33	WDR73	PCNT	TIGD2	CREBL2	RGS14	PRSS53
C4orf46	CDSN	NCOA1	BAG5	KDM2A	SNX17	GOLGA6L5	R3HDM2
FOXM1	AK8	E2F8	VPS41	ATG4B	RPUSD2	HYDIN2	CYB5B
SNORA15	C1orf141	C15orf53	KCTD13	ALG10	RRM2B	LOC257396	FUZ
DGCR14	RETNLB	CDK11A	PHC1	E2F5	MZT1	FOXP4	EIF3A
USP44	FUT5	CCDC54	HDAC2	SNX29	LOC150568	LOC550112	SLFN11
PARP14	FAM86HP	C14orf119	SHISA5	PTMA	MAP1LC3B	FBXL18	PPP1R14B
ZUFSP	KRI1	COG6	NBPF1	FAM53B	SMG9	GPR37L1	ZSWIM5
RAB4B-EGLN2	CACNA2D3-AS1	TBC1D29	RNF10	ATM	DUSP1	FLJ35282	INO80
MSX2P1	OR5AP2	PVRL4	OTUD6B	LEPROTL1	TAF13	ATRN	DKK2
TOB1-AS1	MEF2BNB-MEF2B	ZFP3	CYCS	BCL2	PRDM4	SCG3	GBGT1
HSD17B1	LOC146513	ZNF705D	WDR13	LOC100130298	COX7B2	SLC15A1	CC2D1A
DNAJC25-GNG10	SLC12A9	MYO16	SMC4	ELP4	HBA1	PCDHB11	CYP8B1
GABPA	LALBA	LOC728175	KCNS3	FARP1	UTP14C	GSTTP2	ANKIB1
ZNF131	HPD	LOC644649	THOC1	DOCK11	ACOX1	PPIL6	LOC100129034
LINC00633	KRTAP9-8	PRNT	RB1CC1	ZMAT1	KCTD20	NAP1L6	WT1
LIM2	INPP5A	RASL10B	AHNAK2	TC2N	DHX9	SDCCAG3	DPY19L2
SAPCD2	ZKSCAN2	FAM71C	CCDC111	BTAF1	MYCNOS	MED28	GID8
FGF9	GAGE2C	C1QC	SLC25A25	B4GALT7	ZNF251	SGK494	CR1L
IL36B	SUMO1P1	PRICKLE2	PRKCSH	IPCEF1	IGF2BP2	LRRC47	CASP6
KRT81	FAM71F2	DEFB136	SYS1-DBNDD2	SLC6A16	EHBP1	LOC727896	ZNF85
HPCAL4	ANHX	RHOBTB1	NFYA	ZBP1	HOXD13	TYW5	EIF2AK1
DUSP8	OR4N4	C1QA	TRNAU1AP	TMEM155	PTPN18	DHRS4-AS1	HOXA10
HSF5	IRGC	PAN3-AS1	BLOC1S1	TAPBP	TADA2A	DUXA	CDH6
GOLGA8B	XKR4	KIAA2026	SNHG9	FAM13B	TNF	RBM41	MCAT
B3GALT2	BCCIP	LOC100131138	BTD	BTN3A2	TSR2	WDR55	HOXA5
ZNF469	GRM3	NRON	LOC100130370	CR1	SCFD2	C8orf58	TBC1D10B
LOC100128361	SLC47A2	EVA1C	CHCHD2	LOC440354	PCYOX1L	DCAF13	NFE2L1
CCR3	USHBP1	HTR3D	GTF2H1	PCF11	TIGD6	EYA2	FAM149B1
MFHAS1	GPD1	FCRL4	MYO9B	SON	SLMAP	ZNF557	LRCH2
XCR1	TIGD2	REG1P	SUN1	XCL1	RAB3IP	BAG1	ZNF223
STAM2	GLIS3-AS1	DCAF4L2	ZFHX3	GRK6	LMF1	NUDT6	TFDP1
HIST1H2AJ	GMCL1P1	PROX1	C1orf53	HNRNPA1P10	GSPT1	LOC100506394	SLC43A3
POPDC2	ENO4	CES1P1	YRDC	ASXL2	CBX1	PLAGL2	GRWD1
NCAPG2	GLTSCR1	FNDC9	ACOT4	ATP6V1E2	PHF6	CD3EAP	FAM174A
SPRR2A	MEX3B	AIF1	ARHGAP11A	INCENP	AIG1	ZNF321P	SCFD2
CASD1	ZNF346	THTPA	NUFIP1	ZNF438	SPOP	BRCA1	SELENBP1
SNORA84	TMEM42	GIMAP6	UBE2W	LOC730101	AHCYL1	AMIGO3	FLJ11235
C15orf62	EPM2A	LINC00320	MDP1	GATA3	CD109	SNORD55	ATG5
SETD2	SPI1	ZNF645	MEGF8	GIN1	ZNF668	PGPEP1	IRF2BPL
LOC339622	NEGR1-IT1	DCLK3	GPRC5B	MIR4737	FBXO42	MNF1	HHIPL1
PPP2R4	C6orf58	GIMAP2	GLUD1	ARF6	CEPT1	SLC6A4	RNF220
GRIPAP1	CHRNB2	LINC00184	ARL5A	ITGB2-AS1	NAT6	RPS15AP10	THAP10
ZNF354C	WNT3	FAM138C	RHOBTB1	METRNL	NDUFAF5	FBXO48	CDK13
ENO3	SUMO4	ZBTB20-AS1	AATK	CCSER1	RPS10P7	PATE4	ZNF833P
MLC1	SLC16A9	DDX58	AVL9	RASGRP1	UBAP1	DNAJC25	DHX57
FBXO31	PSG5	ADAM6	DDI2	NUAK2	GNRH1	NFRKB	LOC388849
C10orf68	MADCAM1	ZNF195	TBC1D14	SPDYE5	CCDC149	NSRP1	C2orf68
SREK1IP1	TRAPPC8	PREPL	HDAC4	FCRL6	GTPBP8	MARVELD2	POLDIP3
COLQ	CLEC12B	ASPHD2	PELO	SDK2	COQ10B	ZSWIM1	KTI12
ART1	LOR	BCAT1	PLK4	FCRLB	ANGPTL1	DIRC1	LRSAM1
TBX20	TEN1-CDK3	EEF1E1-MUTED	MTR	SPG11	WBP1	DDX46	FLT1
CBX6	SOX17	KRTAP5-9	CCDC8	FUBP3	EPOR	LMOD3	CSMD2
RNF40	LOC100130075	LPPR5	ZNF24	RNGTT	MANBA	ENTPD7	ACIN1
PKD1L3	SPTB	TENM2	PUS3	MAPRE2	URB2	LOC100505776	RTEL1
MEX3C	PEX11G	FLJ44635	PROSER1	LOC644248	GTF2IRD1	ZBTB8A	FAM45A
CCZ1	WDR86	ZMAT4	RPA3	CNOT6L	PAQR4	OTUD6B	ZNF792
ASPDH	PABPN1L	PLCB2	PRRC2A	TRERF1	MRPL50	BLZF1	NEK3
BNIP2	C4orf32	KLHL25	FOPNL	ATXN1	TARBP1	LOC728875	PCDHGA10
C1GALT1C1	TBC1D3P1-DHX40P1	KRTAP2-3	KIAA1033	IL24	GNS	C5orf60	RGS4
MIR1288	PRSS54	LYPD3	KCNIP2	PLEKHF1	MRC2	NHLRC1	ZNF275
MYOG	MTUS2-AS1	ISCA1	HOXB13	TNFRSF18	MAPKAPK5	ARPC4-TTLL3	LRRC37B
BHLHB9	LIX1L	RP1	POLQ	CCDC64	BLOC1S4	LINC00314	TMEM217
SNORD58C	GPR50	LOC115110	DYM	TTC21A	RTN3	LOC646736	DAPK1
SENP3-EIF4A1	ZNF292	OR1K1	TCF25	ZBTB32	TRMT61A	SPHAR	ARID4A
KCNH3	MIR4420	SERPINB11	RIF1	SRP68	CDC14B	RTF1	MIEN1
GGA2	LOC284661	LPHN3	HOXD13	KLF12	ARL5B	ZNF204P	PUS1
LIG4	ULK4	AR	RNASEL	BDP1	MRFAP1	LOC100287042	PABPC5
RDH14	AKR1C4	ZNF776	EFCAB11	ANXA2R	RCAN3	ESR1	CDKN2C
C12orf61	MIR4516	R3HDM2	COPB1	ZNF675	HSBP1	LOC100505676	RBM15B
SNORD29	SNORD8	ZNF577	CDK5R1	TBC1D7	MAGI2	UQCRB	BTN2A3P
RGS13	ESR1	ERC2	VPS29	FAM215A	LOC145783	SAMD5	FGF1
WWP1	LINC00398	GHSR	MIR4709	L3MBTL3	HEIH	KCNMB4	C15orf57
POLR1D	LOC731779	M1AP	HYPK	LRRC37A2	C14orf132	PCGF6	TNRC18
THOC2	GSTA3	OR10G8	SHISA4	IL21R	TMPPE	POTEM	PLGLA
SNAI3-AS1	DMRTC2	OR13G1	RIMKLB	CEP97	COQ9	ZNF598	HIVEP1
C2orf43	SUV39H1	C5AR2	CCDC106	DGKH	AASDH	SYDE2	LRIG1
MIR5188	LINC00525	CCDC84	AP3S1	MBD1	PDE6D	HOGA1	MT1A
LINC00544	DCAF17	MEOX2	COA5	RBKS	TPBG	HABP4	TMEM150A
RAP2A	TMEM207	CD300LB	RAB3GAP2	P2RY2	CASD1	ADCK4	FTL
RNF219	PCP4L1	TRMT5	HNRNPH2	MDS2	NR2F1	TXNDC16	KCNK17
ABCF3	BOK-AS1	ZNF720	CCNK	TOX2	INTU	ANKRD30BP2	ERCC2
ZNF304	TAS2R8	DNALI1	FSD1L	ASCC3	ZNF143	PIGX	ACADS
ICT1	SERPINA13P	FAM8A1	TMEM168	APOBEC3H	SLC22A5	PGAP1	RAF1
G6PD	ECEL1P2	SLC2A12	IGLL5	FAM159A	YIPF1	CCDC120	ATP7B
IGSF9B	NTN1	EMX2	DDX18	C9orf69	HOXC13	TNFAIP8L3	AGPAT3
SNAPC3	ZFPM1	S100A9	SLK	SIRT4	MDFI	ZNF674	DTX1
ZNF702P	OTX2	SLC8A1-AS1	LOC728554	SNX22	DICER1-AS1	DDA1	ARMC4
LOC92249	AQP7	PHACTR2	EIF4G2	UBA7	TRAPPC8	RFPL1-AS1	PTPN3
APOD	MIR4798	LOC221122	BLCAP	LOC100130231	HEATR1	TRIP13	FHOD1
FRS3	MSI1	DYNC2H1	B3GALNT2	ATF7IP2	ZNF211	C5orf28	HOXC8
WDTC1	LOC100506469	TPM3	SF3B3	GRAP2	SLC52A2	NDST3	NEFM
ARL14EPL	OR5B3	FCGR3A	ACOT8	LOC606724	TPMT	ZNF99	HOXB6
CNGA4	TAS2R60	NLGN4X	CCDC132	OAF	FMO4	CCDC66	COL4A4
SLC23A1	IL22RA2	TAS2R4	ZNF274	ARID4B	AACS	LIAS	ZNF271
PANX1	OR13C2	OR10G4	LARP1B	SNORD22	IQCK	TLK2	LRP5L
SNAR-E	MIR5000	BTNL8	DPYSL4	SUN2	CCNT1	C12orf60	SLC35F2
MITD1	GDAP1L1	BNC2	CCDC58	TAF4B	SEC14L1	LOC100379224	PUS10
BEX5	PRAMEF21	TMEM65	BZW1	TMPO	FZD1	C21orf58	MARK4
SCARNA9	MIR3651	KIAA0317	GREB1	DGUOK	FBXL3	AKR1B10	DPY19L1
LOC729041	TDRD12	TXNRD2	DYNC1I1	PORCN	ABCA3	HOXB3	MUSK
MIR604	LSM11	TUBB8	ST6GALNAC4	PMAIP1	RMND1	KBTBD12	PDE1C
GALK2	NSG1	GRIK2	TLE1	GATS	SMURF2	THAP9-AS1	CCDC109B
ZSWIM3	LINC00085	CCR3	C1orf233	SCRN3	ACOT4	LOC143666	ERMAP
RTEL1-TNFRSF6B	SNORA63	SYT16	RNMT	LOC100505761	TMEM134	CCDC122	BHLHB9
SFXN2	MIR223	LOC154761	METTL14	EIF3L	ISYNA1	HTR7P1	ATXN7L3
ZNF239	PNMT	ATP7B	DNAJC30	SIPA1L3	DHRSX	SACS	PDF
GPR89A	RHO	VN1R4	CD19	BCL11B	PEX3	CAMK2D	LRP3
PIGB	SNORD16	C19orf21	ADO	MAP4K2	POLR1A	LOC284379	COX5B
SNORD16	PCDHGB8P	LOC100131726	DPY19L2	ADPGK-AS1	SETD7	MPPE1	PTGER3
ZFP28	EXD3	RSPH4A	LOC100127983	LENG8	METTL7A	FUT6	PPM1J
MIR5001	MEIS1-AS3	TTC12	TCP1	KDM4B	ZNF451	PPP4R1	WWOX
CLEC16A	DCAF8L1	LOC401177	MTDH	NUP205	TTL	TCF20	DSCC1
LOC100132781	SLC51B	SPAM1	KNTC1	RASIP1	PPIP5K2	SSTR2	TGFB1
GHRL	FHOD3	RIMS1	CHRAC1	ZBTB1	FSTL3	ZNF286A	ATP9B
DIP2A-IT1	C10orf55	LINC00612	OGFOD1	BATF	UIMC1	ABCA9	SCRN1
KPNA2	PCDH15	OR5L2	ZFAND5	MTMR8	SCML1	PAQR3	C11orf84
C9orf64	FREM3	DNAJA1P5	WRAP53	IL4R	PMS2P5	COQ7	EFCAB11
SPTBN5	SNORD11	THRSP	RNF103	DGKD	ZNHIT6	ATG14	COL10A1
CIC	FAM74A4	MAL2	MSI2	CCNT2	RTEL1	ZNF205-AS1	ZNF337
LOC285484	LOC284080	PYDC1	EIF3F	PRPF38B	TRIP12	ADAMTSL2	SKIL
SCARNA6	TACR1	ZNF502	THBS3	ZDHHC21	HTRA2	PROSER2-AS1	MBOAT2
PDZD4	MIR5194	PTGFRN	MT1F	CENPC1	ZNF253	OXER1	METTL4
MIR21	BMP3	DCUN1D5	AP3M1	PPP2R2B	HNRNPA1	RNF187	N6AMT2
PLRG1	MGA	CLHC1	SSBP4	PARG	HOXC11	EIF2B3	PAIP1
SNORA4	HMGCS2	PDZD7	FAM45B	MCOLN2	TMED5	PPIEL	PNKP
CENPV	FAM171A2	OR2L8	SELL	SCAF11	ITM2B	ACACA	LINC00654
GML	C22orf23	PPM1A	FAM198B	MTM1	EMILIN3	KDM3A	BET1
