Celltype1	Celltype2	Celltype3	Celltype4	Celltype5	Celltype6	Celltype7	Celltype8
TNFRSF1B	PTPRCAP	COX6B2	EGFL8	TCN1	TGM2	HLA-DQA1	ISLR
CD96	ST6GAL1	AP1S3	BLVRB	SEPP1	CPVL	TBXAS1	TNXB
1-Sep	RPL18A	MEFV	TMEM177	GDF15	MTRR	SLC31A2	TIE1
GIMAP5	RPS6	TRAF3IP2	NPM3	SEC11C	NRN1	TYMP	CALCRL
PRDM1	IGLL3P	LINC00485	HSPB8	TNFSF4	NNMT	RASSF4	CXCL12
CCL3	RPS12	TLCD2	SAMM50	HSPA1B	EFNA5	FCGRT	PLVAP
TARP	TMSB4X	ZNF793	SLC25A5	XAGE1E	CCDC127	FBP1	ITGA5
FYN	RPL10A	LRRC57	GALE	EVA1A	AKR1C3	CFD	COL1A2
ITGAL	RPLP2	PRR11	NARS2	XAGE1A	LOC339535	HLA-DMA	PROCR
SELPLG	CD53	MBOAT1	PEPD	MRPS6	VAMP5	BCL2A1	CD34
COTL1	RPL13AP5	DAND5	RANBP1	FBXO32	PTGS2	MS4A7	CXCL14
ARHGAP9	RPS18	XRCC2	NOV	XAGE1D	FANCL	CD86	DARC
SKAP1	GNB2L1	KLRD1	ADSL	CD58	CHPT1	C15orf48	LDB2
LAT	RPSA	DNAJC22	NENF	XAGE1B	EXOC3	HLA-DPA1	GPX3
PVRIG	RPL9	CABP4	PSAT1	XAGE1C	SERPINE2	F13A1	ID3
LAG3	CD72	MOG	PFN2	FOS	ACSS2	RAB31	CD248
CD97	RPL5	FGF5	ISYNA1	CD63	CLDN11	RAB20	FBLN2
FYB	RPS16	CYP20A1	SLC43A3	MATN2	VIT	OLR1	ANXA2
ARHGDIB	RPS13	TBXA2R	PDCD5	CST3	LPL	MAFB	CDH11
PSMB9	RPL18	RBM34	PPA1	MYO1D	IER3	MPEG1	NFIB
APOBEC3C	PARP15	PLCXD1	FH	G6PC3	QTRT1	FGR	TPM4
RGS2	RPS23	ZC3H12D	GMPR	IFI27L2	PAGE2B	TREM1	TIMP1
SLC9A3R1	RPS21	XPNPEP3	EDNRB	NPC1	MFI2	PLBD1	ABI3BP
GBP2	MEF2C	ZKSCAN3	PHGDH	C4A	TM4SF1	IL8	COL6A2
CCR5	RPL30	AP4S1	AHCY	DDR1	PPP1R1B	CD300A	PRCP
TBC1D10C	RPL39	SKA1	ZFYVE21	LAMP2	MT2A	SLCO2B1	MYCT1
KLRC4	RPS3A	PIGX	MRPL24	RPS4Y1	AQP3	ITGAX	PLA2G2A
TAP1	RCSD1	LINC00665	TUBA1C	PERP	SERPINA5	IER3	TCF4
RASSF5	SYK	LEPREL4	MRPS12	LOXL4	DHPS	SAT1	SULF2
ICOS	RPL26	PHAX	GGH	ROPN1	FKBP10	NPC2	UBD
LBH	1-Mar	ZNF490	NRP2	QDPR	DOK5	HLA-DQB1	C3
LCP2	ARHGDIB	BHMT2	ZNF593	AEBP1	RCAN1	CLEC4A	CFI
EMB	RHOH	NME6	MBP	NT5DC3	S100A16	TNFSF13B	CFH
CD7	RPL11	LPP	PFDN2	CD151	A2M	RNASE6	TIMP3
SASH3	RPS29	ZNF818P	HSD17B14	DAAM2	LPCAT1	G0S2	CALD1
GPR174	RPS25	UBE2Q2P1	ILF2	PLXNB2	CHRNA6	GRN	FMOD
CCL3L3	RPL17	EPPIN	OCA2	RAB34	DKK3	GPX1	PDPN
