TF	pvalue
HIVEP2	1.9673e-07
IRF1	1.6492e-06
MYC	4.1786e-06
MYCN	4.13e-05
E2F1	0.00025938
STAT4	0.000302
CIITA	0.00068013
HOXA9	0.0014789
RUNX1	0.001768
GATA3	0.005934
MEN1	0.005934
HSF1	0.0099828
STAT1	0.011956
TP53	0.021552
NFATC1	0.029675
EGR1	0.0311
NFYC	0.033758
MSC	0.033927
ABL1	0.038237
KLF13	0.038237
NFYB	0.042561
EOMES	0.048318
USF1	0.048318
