TF	pvalue
RFX5	0
CIITA	2.4393e-12
RFXANK	2.4393e-12
RFXAP	2.4393e-12
RFX1	3.2406e-06
PAX5	0.00091994
SPI1	0.0016759
DEK	0.0039923
SPIB	0.0039923
STAT6	0.0039923
ILF3	0.0051203
XRCC6	0.0077081
POU2F2	0.0083632
IRF4	0.0093255
BDP1	0.010746
KLF2	0.01285
CREB3	0.018438
ZNF300	0.025927
STAT1	0.032341
MLXIPL	0.040707
RBMX	0.040707
HNF1A	0.044377
TRERF1	0.048318
