TF	pvalue
BRCA1	0.00021368
MITF	0.00021368
SOX10	0.00029971
AR	0.0015841
CTNNB1	0.0015841
TP53	0.0030649
ESR1	0.0045699
ETV4	0.0045699
PPARD	0.0045699
SOX9	0.0045699
ESR2	0.007298
PARP1	0.007298
TFCP2	0.007298
TWIST2	0.0079141
KLF6	0.0089707
KLF4	0.012363
EGR2	0.013855
JUND	0.013855
STAT3	0.014729
HOXA7	0.014961
PAX3	0.01615
POU4F2	0.017279
LCOR	0.024471
MYF5	0.024949
USF1	0.024949
TBP	0.025248
ETS1	0.025266
ETS2	0.026328
SMAD4	0.026328
TFEB	0.026328
TAF1	0.030017
GTF2I	0.031355
NFIB	0.03142
PPARG	0.038667
HDAC7	0.039743
KLF5	0.039743
MAML1	0.039743
NKX2-3	0.039743
MYF6	0.040208
ATF3	0.045439
