TF	pvalue
MITF	0
E2F1	5.1842e-06
TFEB	0.00022951
LEF1	0.00031898
MYC	0.00083911
SOX9	0.0028385
SOX10	0.010342
HOXA1	0.01301
SNIP1	0.01301
E2F4	0.013163
OTX2	0.033244
TCF7	0.033244
CNBP	0.040493
FUBP1	0.040493
MTA1	0.040493
ONECUT2	0.040493
RBL1	0.040493
SRSF1	0.040493
TBL1X	0.040493
